orcid_origin,pmid,doi,article_qnr,all_authors_qnr
0000-0003-3917-1942,nan,10.1016/0743-1066(95)00147-6,Q57840361,
0000-0003-1714-0942,nan,10.1088/0953-8984/27/11/115503,Q86865375,"['Q58694653', 'Q59824198']"
0000-0001-8687-3942,nan,10.1109/TIE.2017.2750612,Q58961600,
0000-0001-8687-3942,nan,10.1109/TIE.2017.2750630,Q58961617,
0000-0001-8687-3942,nan,10.1109/TII.2017.2768585,Q59308625,
0000-0001-8687-3942,nan,10.1109/TIE.2017.2750630,Q58961617,
0000-0001-8687-3942,nan,10.1109/TIE.2017.2750630,Q58961617,
0000-0002-5363-4942,nan,10.1088/0953-8984/29/3/035501,Q36192544,"['Q57310506', 'Q85894543', 'Q85894544']"
0000-0002-3765-0942,nan,10.1039/C7SM01560G,Q48089648,"['Q74566899', 'Q87121362']"
0000-0002-3765-0942,nan,10.1063/1.4869695,Q44322560,"['Q74566899', 'Q87121362']"
0000-0002-3765-0942,nan,10.1063/1.4920973,Q50976660,"['Q74566899', 'Q87121362']"
0000-0002-3765-0942,nan,10.1063/1.4916309,Q50930974,"['Q37376302', 'Q56670599', 'Q74566899', 'Q87121362']"
0000-0003-2591-7942,nan,10.4103/0971-6203.51937,Q33588344,
0000-0002-7432-0942,nan,10.1080/13668803.2016.1262328,Q58328079,
0000-0002-7432-0942,nan,10.3233/WOR-152176,Q38620858,['Q39688992']
0000-0002-7432-0942,28449605.0,10.1177/0020731417707491,Q38816439,['Q57449837']
0000-0002-7432-0942,nan,10.1177/0020731416676233,Q47896246,"['Q53546619', 'Q57449837', 'Q61826728', 'Q85578621']"
0000-0002-7432-0942,nan,10.1177/0020731416677478,Q50126379,['Q57449837']
0000-0002-7432-0942,nan,10.1080/13668803.2016.1262328,Q58328079,
0000-0001-6268-7942,28817968.0,10.1080/14786419.2017.1366478,Q46726605,"['Q47462401', 'Q76383680', 'Q88611540']"
0000-0001-6268-7942,27388576.0,10.1080/08977194.2016.1200571,Q46617197,"['Q46617263', 'Q46617277', 'Q46617293', 'Q76383680', 'Q88611540']"
0000-0001-6268-7942,30526087.0,10.1080/14786419.2018.1509326,Q90334126,['Q88611540']
0000-0001-6268-7942,28747084.0,10.1080/08977194.2017.1354859,Q53141065,"['Q46617277', 'Q46617293', 'Q76383680', 'Q88611540']"
0000-0001-6268-7942,28683581.0,10.1080/08977194.2017.1345900,Q50904609,"['Q76383680', 'Q85330920', 'Q88611540', 'Q96031724']"
0000-0003-1441-7942,nan,10.1186/1472-6750-14-29,Q35155722,"['Q39031689', 'Q57203255', 'Q57203398']"
0000-0001-7226-0942,nan,10.1080/0950069032000052207,Q56674675,
0000-0001-7226-0942,nan,10.1016/S0006-8993(97)00962-1,Q48557587,
0000-0001-6079-6942,nan,10.1016/S0928-4257(02)00021-9,Q48440535,"['Q30347910', 'Q42887296', 'Q57338595']"
0000-0001-6079-6942,nan,10.3109/13550284.2010.504764,Q50302826,"['Q30347910', 'Q58893805']"
0000-0002-4753-3942,19304722.0,10.2214/AJR.08.1405,Q50781160,['Q43663433']
0000-0002-4753-3942,18094290.0,10.2214/AJR.07.2716,Q61877501,['Q43663433']
0000-0002-4753-3942,16423952.0,10.2214/AJR.04.1723,Q61877514,['Q43663433']
0000-0002-4753-3942,19774167.0,10.4103/0971-3026.41837,Q37354719,
0000-0002-4753-3942,18430835.0,10.2214/AJR.07.3312,Q61877500,['Q43663433']
0000-0002-4753-3942,18562729.0,10.2214/AJR.07.3313,Q61877498,['Q43663433']
0000-0002-7071-7942,nan,10.1364/OL.44.003110,Q92747893,['Q92747891']
0000-0002-6804-3942,nan,10.2147/AMEP.S146175,Q42373144,['Q42373193']
0000-0002-6804-3942,nan,10.1177/096120339600500215,Q41066161,
0000-0002-6804-3942,nan,10.1177/096120339600500212,Q33496506,
