author_qID,orcid,name,affiliation,affiliation_id,affiliation_id_source,start_date_year
Q95975114,0000-0003-4013-679X,"('Jonathan', 'Coles')","(""Addenbrooke's Hospital, University of Cambridge"", '2152', 'RINGGOLD', '2006')",nan,nan,nan,nan
Q89938766,0000-0003-1858-879X,"('Rui', 'Cai')","('Dalian Institute of Chemical Physics', '58279', 'RINGGOLD', '2009')",nan,nan,nan,nan
,0000-0002-6903-479X,"('Mirosław Jan', 'Chmielewski')","('John Paul II Catholic University of Lublin', 'grid.37179.3b', 'GRID', '2011')",nan,nan,nan,nan
,0000-0002-2431-179X,"('ROBERT', 'ALVAREZ')","('Universidad Católica de Cuenca', '185000', 'RINGGOLD', '2013')",nan,nan,nan,nan
,0000-0003-4293-279X,"('I Wayan', 'Numertayasa')","('STKIP Suar Bangli', '263951', 'RINGGOLD', '2011')",nan,nan,nan,nan
,0000-0002-5618-879X,"('Rachael', 'Clawson')","('University of Nottingham', '6123', 'RINGGOLD', '2012')",nan,nan,nan,nan
,0000-0002-6343-379X,"('MANUELA', 'SOLÍS HERNÁNDEZ')","('Secretaría de Salud', 'http://dx.doi.org/10.13039/501100009051', 'FUNDREF', '2009')",nan,nan,nan,nan
Q60671669,0000-0002-6891-279X,"('FLORIN', 'TUDORACHE')","('Alexandru Ioan Cuza University of Iasi', '312537', 'RINGGOLD', '2009')",nan,nan,nan,nan
Q87733736,0000-0003-3110-979X,"('Takashi', 'Kodama')","('Johns Hopkins University', '1466', 'RINGGOLD', '2013')",nan,nan,nan,nan
,0000-0003-2115-479X,"('Ayyappa', 'Chaturvedula')","('University of North Texas Health Science Center', '12376', 'RINGGOLD', '2015')",nan,nan,nan,nan
,0000-0001-9780-079X,"('Arturo', 'Rendón')","('Universidad Nacional Autónoma de México', '7180', 'RINGGOLD', '2016')",nan,nan,nan,nan
Q51205836,0000-0002-7537-079X,"('Jacopo Antonino', 'Vitale')","('IRCCS Istituto Ortopedico Galeazzi', '46767', 'RINGGOLD', '2016')",nan,nan,nan,nan
,0000-0002-2072-479X,"('Shamim', 'Alam')","('Jamia Millia Islamia', '28849', 'RINGGOLD', '2018')",nan,nan,nan,nan
,0000-0003-0400-479X,"('Dee', 'Williams')","('US Geological Survey Alaska Region', '465901', 'RINGGOLD', '2016')",nan,nan,nan,nan
,0000-0003-0293-079X,"('Ana Paula', 'Brandão Fried')","('Prefeitura Municipal de Niterói', '488731', 'RINGGOLD', '2007')",nan,nan,nan,nan
,0000-0002-8189-379X,"('M.V', 'Sathiyabama')","('NGM College', '29909', 'RINGGOLD', '2002')",nan,nan,nan,nan
Q58926461,0000-0002-8987-979X,"('Riccardo', 'Camattari')","('Università degli Studi di Ferrara Facoltà di Scienze Matematiche Fisiche e Naturali', '9299', 'RINGGOLD', '2014')",nan,nan,nan,nan
,0000-0003-4693-379X,"('Florian', 'Richoux')","('Université de Nantes', '27045', 'RINGGOLD', '2012')",nan,nan,nan,nan
,0000-0002-9990-379X,"('Ayachi omar', 'Asma')","(""Université Kasdi Merbah Ouargla Laboratoire de Génie de l'eau et d'environnement en milieu saharien"", '272783', 'RINGGOLD', '2015')",nan,nan,nan,nan
Q58335368,0000-0001-9104-679X,"('Ben', 'Libberton')","('Karolinska Institutet', '27106', 'RINGGOLD', '2013')",nan,nan,nan,nan
,0000-0003-4895-579X,"('Marcelo', 'Naputano')","('Universidade Federal de Roraima', '89110', 'RINGGOLD', '2018')",nan,nan,nan,nan
Q59676575,0000-0001-6005-579X,"('levent', 'neyse')","('Deutsches Institut für Wirtschaftsforschung eV', '28354', 'RINGGOLD', '2017')",nan,nan,nan,nan
,0000-0002-4613-179X,"('Morag', 'Taite')","('National University of Ireland - Galway', '8799', 'RINGGOLD', '2015')",nan,nan,nan,nan
,0000-0003-1372-879X,"('Ligia Clemencia', 'Rueda Guzman')","('Fundación Cardiovascular de Colombia', '204423', 'RINGGOLD', '2010')",nan,nan,nan,nan
