orcid,pmid,doi,qID
0000-0002-4395-4942,nan,10.1079/SUM2002190,Q57774725
0000-0002-4395-4942,nan,10.1079/SUM2002190,Q57774725
0000-0002-4395-4942,nan,10.1007/978-1-4020-8592-5_23,Q57774634
0000-0002-4395-4942,nan,10.1016/S0166-2481(06)31022-7,Q57774669
0000-0002-4395-4942,nan,10.1364/BOE.4.002463,Q30446421
0000-0002-4395-4942,nan,10.1016/S1251-8050(00)00181-6,Q57774750
0000-0002-4395-4942,nan,10.1016/S1251-8050(00)00181-6,Q57774750
0000-0002-4395-4942,nan,10.1016/S0016-7061(00)00035-5,Q57774743
0000-0002-4395-4942,nan,10.1080/01431169608948773,Q57774770
0000-0002-4395-4942,nan,10.1016/S0166-2481(06)31038-0,Q57774672
0000-0002-4395-4942,nan,10.1155/2016/7302148,Q57774503
0000-0002-4395-4942,nan,10.1016/S1251-8050(00)80022-1,Q57774758
0000-0002-4395-4942,nan,10.1016/S0016-7061(00)00104-X,Q57774731
0000-0002-4395-4942,nan,10.1071/SR99114,Q57774737
0000-0002-4395-4942,nan,10.1097/00010694-200012000-00006,Q57774754
0000-0002-4395-4942,nan,10.1097/00010694-200306000-00006,Q57774718
0000-0002-4395-4942,nan,10.1016/S1251-8050(00)00122-1,Q57774748
0000-0002-4395-4942,nan,10.1016/S1251-8050(00)80022-1,Q57774758
0000-0002-4395-4942,nan,10.1023/A:1009775825427,Q57774766
0000-0002-4395-4942,nan,10.1007/978-1-4020-8592-5_23,Q57774634
0000-0002-4395-4942,nan,10.1016/S0016-7061(03)00219-2,Q57774698
0000-0002-4395-4942,nan,10.1016/S0016-7061(00)00035-5,Q57774743
0000-0002-4395-4942,nan,10.1016/S0016-7061(00)00104-X,Q57774731
0000-0002-4395-4942,nan,10.1007/978-1-4020-8592-5_30,Q57774642
0000-0002-4395-4942,nan,10.1097/00010694-200101000-00008,Q57774734
0000-0002-9675-7942,31106578,10.1080/13548506.2019.1619789,Q92150092
0000-0002-9675-7942,12411719,10.1159/000066219,Q78461686
0000-0002-9675-7942,nan,10.1159/000066219,Q78461686
0000-0002-9675-7942,nan,10.2147/COPD.S112837,Q37305998
0000-0002-9675-7942,27729781,10.2147/COPD.S112837,Q37305998
0000-0002-9675-7942,nan,10.1080/13548506.2019.1619789,Q92150092
0000-0002-9675-7942,nan,10.1007/5584_2015_196,Q40072069
0000-0002-9645-8942,nan,10.1007/S10456-018-9604-Y,Q49991844
0000-0002-9645-8942,nan,10.1038/SDATA.2017.111,Q38623872
0000-0002-9645-8942,nan,10.1038/S41598-017-07129-4,Q41423380
0000-0002-9645-8942,nan,10.1155/2017/1956104,Q43113335
0000-0002-9645-8942,nan,10.1371/JOURNAL.PONE.0106546,Q28542907
0000-0002-9645-8942,nan,10.1007/S10456-018-9594-9,Q48248176
0000-0002-9645-8942,29104724,10.1155/2017/1956104,Q43113335
0000-0002-9645-8942,nan,10.1038/SREP32137,Q30804219
0000-0002-9645-8942,nan,10.1038/SDATA.2016.103,Q38375654
0000-0002-4424-4942,nan,10.1155/2017/1320780,Q59142058
0000-0002-4424-4942,nan,10.1155/2016/2979081,Q30367497
0000-0002-4424-4942,nan,10.1155/2017/7571043,Q59142070
0000-0002-8869-3942,nan,10.1088/1367-2630/12/3/035018,Q57186808
0000-0002-8869-3942,nan,10.1088/0965-0393/15/1/S17,Q59366676
0000-0002-8869-3942,nan,10.1016/S0020-7683(03)00143-4,Q30051449
0000-0001-6860-8942,27966512,10.4103/0970-9290.195643,Q51080145
0000-0001-6860-8942,18182188,10.1016/S0022-3913(08)60011-6,Q47986035
0000-0001-6860-8942,18755057,10.1308/135576108784795374,Q47376937
0000-0001-6860-8942,26929538,10.4103/0972-4052.161570,Q36603621
0000-0001-6860-8942,27041917,10.4103/0976-237X.177090,Q30386979
0000-0001-6860-8942,28216842,10.4103/0972-4052.194945,Q47434539
0000-0001-6860-8942,26096105,10.4103/0970-9290.159138,Q85417593
0000-0003-3102-2942,nan,10.1002/1873-3468.12637,Q51075032
0000-0003-3102-2942,nan,10.1186/1471-2148-14-96,Q33612400
0000-0002-3150-7942,nan,10.1080/15424060903585768,Q58522828
0000-0002-3150-7942,27815394,10.1177/1524839916676263,Q38999157
0000-0002-1153-0942,nan,10.1088/2041-8205/748/1/L10,Q58263369
0000-0002-1153-0942,nan,10.1088/0004-637X/769/2/141,Q58302915
0000-0002-1153-0942,nan,10.1051/0004-6361/201015370,Q55888147
0000-0002-1153-0942,nan,10.1051/0004-6361/201015188,Q68998109
0000-0002-1153-0942,nan,10.1088/0004-637X/733/2/95,Q58328340
0000-0002-1153-0942,nan,10.1051/0004-6361/201116620,Q58328329
0000-0002-1153-0942,nan,10.1051/0004-6361/201117037,Q58302958
0000-0002-1153-0942,nan,10.1051/0004-6361/200913405,Q55889824
0000-0002-1153-0942,nan,10.1088/0004-637X/760/1/32,Q58263353
0000-0002-1153-0942,nan,10.1051/0004-6361/201424537,Q69067819
0000-0002-1153-0942,nan,10.1051/0004-6361/201321849,Q69054871
0000-0002-1153-0942,nan,10.1088/2041-8205/713/2/L169,Q56442264
0000-0002-1153-0942,nan,10.1088/0004-637X/763/1/49,Q59397218
0000-0002-1153-0942,nan,10.1051/0004-6361/201015801,Q68997054
0000-0002-1153-0942,nan,10.1088/0004-637X/749/2/152,Q58302952
0000-0003-3089-8942,nan,10.1366/10-06215,Q38463431
0000-0003-3089-8942,nan,10.1364/AO.49.000542,Q60134448
0000-0003-3089-8942,nan,10.1364/AO.50.001717,Q38464246
0000-0003-3089-8942,nan,10.1088/0957-0233/24/4/045003,Q60134377
0000-0003-3089-8942,nan,10.2514/1.A32752,Q60134347
0000-0003-3089-8942,nan,10.1109/I2MTC.2012.6229508,Q60134414
0000-0003-3089-8942,nan,10.1109/TIM.2013.2245185,Q60134394
0000-0003-3089-8942,nan,10.1115/1.4025367,Q60134354
0000-0003-3089-8942,nan,10.1080/00140139.2014.961969,Q39128897
0000-0003-3089-8942,nan,10.1080/00140139.2013.776704,Q45303909
0000-0003-3089-8942,nan,10.1117/12.2028644,Q60125819
0000-0003-3089-8942,nan,10.1109/I2MTC.2012.6229488,Q60134411
0000-0003-3089-8942,nan,10.1080/00140139.2014.945494,Q53478157
0000-0002-8886-1942,nan,10.1007/978-1-62703-383-1_17,Q34754984
0000-0002-8886-1942,nan,10.1186/1471-2229-7-54,Q33302566
0000-0002-8886-1942,nan,10.1515/HF.2005.XXX,Q61703004
0000-0002-8886-1942,nan,10.1023/A:1011241617946,Q56982269
0000-0002-8886-1942,nan,10.1007/BF02619480,Q60548722
0000-0002-8886-1942,nan,10.1007/BF01103468,Q33705555
0000-0002-8886-1942,nan,10.1007/978-1-62703-383-1_18,Q45006562
0000-0002-8886-1942,nan,10.1186/1472-6750-9-92,Q33514131
0000-0002-8886-1942,nan,10.1023/A:1022846304826,Q33187881
0000-0002-8886-1942,nan,10.1023/A:1024036803997,Q33187944
0000-0002-8886-1942,nan,10.1007/BF00258142,Q34352910
0000-0002-8886-1942,nan,10.1128/AEM.00977-07,Q33292108
0000-0002-0761-1942,nan,10.1080/11038128.2017.1367415,Q38613835
0000-0002-0761-1942,nan,10.1080/10400435.2017.1367737,Q47689740
0000-0002-0761-1942,nan,10.1080/11038120802409762,Q82096623
0000-0002-0761-1942,nan,10.1080/11038128.2016.1267259,Q39104675
0000-0002-0761-1942,nan,10.1080/11038120701858804,Q37196906
0000-0002-0761-1942,nan,10.3109/11038128.2015.1044907,Q50912394
0000-0001-6503-6942,nan,10.1042/0264-6021:3410089,Q56804224
0000-0001-6503-6942,11314743,10.1007/BF03343835,Q43583587
0000-0001-6503-6942,nan,10.1016/S1357-4310(99)01620-2,Q33818742
0000-0001-6503-6942,10377248,10.1042/0264-6021:3410089,Q56804224
0000-0001-6503-6942,2096158,10.1007/BF03349629,Q70293701
0000-0001-6503-6942,1560188,10.1007/BF03348650,Q48566532
0000-0001-6503-6942,10637573,10.1016/S1357-4310(99)01620-2,Q33818742
0000-0001-6503-6942,10403172,10.1016/S0300-9084(99)80092-3,Q33867754
0000-0001-6503-6942,nan,10.3275/8973,Q38108710
0000-0001-6503-6942,nan,10.1016/S0300-9084(99)80092-3,Q33867754
0000-0001-6503-6942,17318014,10.1007/BF03347387,Q79820174
0000-0001-6503-6942,8463555,10.1007/BF03347657,Q70636659
0000-0001-6503-6942,23698639,10.3275/8973,Q38108710
0000-0001-6503-6942,nan,10.1016/S0959-437X(99)80043-4,Q33665843
0000-0001-6503-6942,19542741,10.1007/BF03346459,Q84097434
0000-0001-6503-6942,10377281,10.1016/S0959-437X(99)80043-4,Q33665843
0000-0001-6503-6942,21060249,10.3275/7331,Q82366000
0000-0003-2466-6942,24592334,10.1155/2014/151572,Q35109981
0000-0003-4450-1942,nan,10.1080/00981389.2010.518885,Q30396786
0000-0003-4450-1942,nan,10.1080/17290376.2013.807052,Q30432526
0000-0003-4450-1942,nan,10.1177/0021909608101412,Q56832129
0000-0003-4450-1942,nan,10.1177/0272684X15592757,Q38921146
0000-0003-4450-1942,24156481,10.1186/2049-9957-2-25,Q30588322
0000-0001-6260-1942,nan,10.1097/MCD.0000000000000042,Q87631720
0000-0001-6260-1942,nan,10.1080/15513815.2017.1379039,Q47567589
0000-0001-6260-1942,nan,10.3109/13816810.2013.811269,Q41931822
0000-0001-6260-1942,nan,10.1097/MCD.0000000000000037,Q38199284
0000-0001-6260-1942,nan,10.1186/1750-1172-9-60,Q33615956
0000-0001-6260-1942,nan,10.1097/00019605-199810000-00012,Q77583586
0000-0001-6260-1942,nan,10.1177/0883073815627884,Q87156570
0000-0001-6260-1942,nan,10.1080/15513815.2019.1639089,Q91860158
0000-0001-6260-1942,nan,10.1002/(SICI)1096-8628(19990528)84:3<202::AID-AJMG6>3.0.CO;2-O,Q51984688
0000-0001-6260-1942,nan,10.1159/000334289,Q35888762
0000-0001-6260-1942,nan,10.1016/S0165-4608(99)00099-0,Q73314736
0000-0001-6260-1942,nan,10.1097/00019605-200204000-00010,Q34523049
0000-0001-6260-1942,nan,10.1172/JCI80102,Q36106023
0000-0001-6260-1942,nan,10.1177/0883073813484967,Q34340905
0000-0001-6260-1942,nan,10.1159/000106438,Q36954252
0000-0001-6260-1942,nan,10.1177/088307389901400305,Q77220082
0000-0001-6260-1942,nan,10.1023/A:1005444903597,Q33503830
0000-0001-9987-7942,nan,10.1186/1471-2164-9-591,Q33390756
0000-0001-6378-6942,nan,10.1186/1757-7241-18-1,Q33663205
0000-0001-6378-6942,nan,10.1016/S0300-9572(03)00026-1,Q35126857
0000-0003-1052-0942,nan,10.1155/2010/695025,Q58653274
0000-0002-8656-7942,nan,10.1088/1475-7516/2007/04/010,Q56656809
0000-0002-8656-7942,nan,10.1088/1475-7516/2014/12/054,Q58022416
0000-0002-8656-7942,nan,10.1088/1475-7516/2015/10/014,Q58022363
0000-0002-8656-7942,nan,10.1088/1475-7516/2009/02/008,Q27014707
0000-0002-8656-7942,nan,10.1063/1.2348065,Q58022616
0000-0002-8656-7942,nan,10.1088/1742-6596/173/1/012018,Q58022540
0000-0002-8656-7942,nan,10.1088/1475-7516/2013/11/054,Q58022438
0000-0002-8656-7942,nan,10.1088/1475-7516/2014/10/052,Q58022410
0000-0002-8656-7942,nan,10.1063/1.3232173,Q58022525
0000-0002-8656-7942,nan,10.1017/S1743921317001089,Q58022346
0000-0002-8656-7942,nan,10.1142/S0217751X04019548,Q58022652
0000-0002-8656-7942,nan,10.1007/JHEP07(2016)095,Q58022343
0000-0002-8656-7942,nan,10.1088/1475-7516/2009/12/002,Q58022549
0000-0002-8656-7942,nan,10.1109/NSSMIC.2010.5873777,Q58022523
0000-0002-8656-7942,nan,10.1088/1475-7516/2015/12/041,Q58022358
0000-0002-8656-7942,nan,10.1063/1.2125659,Q58022640
0000-0002-8656-7942,nan,10.1086/526493,Q58022559
0000-0002-8656-7942,nan,10.1088/1475-7516/2017/03/043,Q58022327
0000-0002-8656-7942,nan,10.1088/1742-6596/110/6/062023,Q58022581
0000-0002-8656-7942,nan,10.1086/526450,Q58022567
0000-0002-8656-7942,nan,10.1088/1475-7516/2009/01/025,Q58022546
0000-0002-8656-7942,nan,10.1088/1126-6708/2009/10/020,Q58022529
0000-0002-8656-7942,nan,10.1088/1475-7516/2015/09/023,Q58022352
