orcid,given_name,family_name,affiliation,affiliation_id,affiliation_id_source,start_date_year
0000-0002-3664-679X,"('DEBABRATA', 'RAY')","('Rubber Research Institute of India', '29321', 'RINGGOLD', '2000')"
0000-0001-7649-579X,"('Shamprasad', 'Pujar')","('Indira Gandhi Institute of Development Research', '29493', 'RINGGOLD', '1996')"
0000-0002-1520-479X,"('Martina', 'Di Rienzo')","('INMI Lazzaro Spallanzani IRCCS', '18653', 'RINGGOLD', '2015')"
0000-0003-3484-479X,"('Alexey', 'Sukhanov')","('Tomskii politekhnicheskii universitet', '65078', 'RINGGOLD', '2014')"
0000-0002-4010-079X,"('Paloma', 'Korycińska')","('Uniwersytet Jagielloński w Krakowie', '37799', 'RINGGOLD', '2000')"
0000-0001-6422-479X,"('Adriano', 'Petry')","('National Institute for Space Research', 'grid.419222.e', 'GRID', '2009')"
0000-0002-2884-979X,"('Ifrim', 'Mihaela')","('Alexandru Ioan Cuza University', 'grid.8168.7', 'GRID', '2008')"
0000-0001-6583-379X,"('Andreu', 'Nolasco')","('Universidad de Alicante', '16718', 'RINGGOLD', '1984')"
0000-0002-6480-779X,"('Jean-François', 'MATHIOT')","('Laboratoire de Physique de Clermont', '69237', 'RINGGOLD', '1995')"
0000-0003-3125-679X,"('Sharmin', 'Sultana')","('Johns Hopkins School of Medicine', '1500', 'RINGGOLD', '2017')"
0000-0002-0223-579X,"('Simon', ""O'Neill"")","('Diabetes UK', 'http://dx.doi.org/10.13039/501100000361', 'FUNDREF', '1995')"
0000-0001-6380-379X,"('Geomar', 'Molina-Bolívar')","('Universidad de La Guajira', '125416', 'RINGGOLD', '2000')"
0000-0003-1421-079X,"('WUI-CHIANG', 'LEE')","('Taipei Veterans General Hospital', '46615', 'RINGGOLD', '2016')"
0000-0002-1765-679X,"('Kaouther', 'TOUMI')","('Université Paul Sabatier', '27091', 'RINGGOLD', '2012')"
0000-0003-0817-979X,"('xiaozhuo', 'xu')","('Henan Polytechnic University', '12561', 'RINGGOLD', '2006')"
0000-0001-9237-279X,"('hanadi', 'sabban')","('King Abdulaziz University Faculty of Dentistry', '108780', 'RINGGOLD', '2008')"
0000-0001-8755-779X,"('James', 'Wood')","('University of Sydney', '4334', 'RINGGOLD', '2018')"
0000-0002-6366-079X,"('Vinay', 'Kumar')","('Central University of Jammu', '388474', 'RINGGOLD', '2017')"
0000-0003-0982-579X,"('Bill', 'Anderson')","('Illinois State University', '6049', 'RINGGOLD', '1996')"
0000-0001-8937-679X,"('Tao', 'Jiang')","('Harbin Engineering University', '12428', 'RINGGOLD', '2008')"
0000-0002-5126-479X,"('Xinxin', 'Ban')","('Huaihai Institute of Technology', '66486', 'RINGGOLD', '2016')"
0000-0002-2289-379X,"('Kumuda', 'D K')","('Siddaganga Institute of Technology', '29257', 'RINGGOLD', '2009')"
0000-0001-5002-579X,"('Halim', 'HAMMI')","('Centre National de Recherches en Sciences des Materiaux', '201295', 'RINGGOLD', '2004')"
0000-0002-2239-179X,"('Evgenia', 'Barutkina')","('Novosibirskij gosudarstvennyj universitet upravlenia i ekonomiki', '164236', 'RINGGOLD', '2016')"
0000-0003-3264-679X,"('Arturo', 'Juárez García')","('Universidad Autónoma del Estado de Morelos', '27783', 'RINGGOLD', '2016')"
0000-0001-6775-979X,"('Segolene', 'OLIVIER')","('CEA Grenoble', '70610', 'RINGGOLD', '2003')"
0000-0002-4823-379X,"('Alicia Yesenia', 'López Sánchez')","('Universidad Autónoma de Nuevo León', 'http://dx.doi.org/10.13039/501100004685', 'FUNDREF', '2016')"
0000-0001-9838-779X,"('Andrés', 'Barrios-Rubio')","('Universidad de Bogota Jorge Tadeo Lozano', '27984', 'RINGGOLD', '2003')"
0000-0003-1702-479X,"('Glynnis', 'Cook')","('Citrus Research International Pty Ltd', '206805', 'RINGGOLD', '2009')"
0000-0003-4050-779X,"('Peter', 'Robinson')","('University of Saskatchewan', '7235', 'RINGGOLD', '2010')"
0000-0001-7954-979X,"('Davide', 'Janner')","('Politecnico di Torino', '19032', 'RINGGOLD', '2015')"
0000-0003-3292-979X,"('DONG', 'HAN')","('Tokyo Institute of Technology', 'http://dx.doi.org/10.13039/501100004520', 'FUNDREF', '2018')"
0000-0002-1548-279X,"('Jędrzej', 'Grzegrzółka')","('Uniwersytet Medyczny im Piastów Śląskich we Wrocławiu', '49550', 'RINGGOLD', '2018')"
0000-0002-2876-979X,"('Deni', 'Hamdani')","('Universitas Mataram', '175465', 'RINGGOLD', '2019')"
0000-0002-4041-879X,"('Kristoffer', 'Day')","('Legislative Assembly of Ontario', '145725', 'RINGGOLD', '2017')"
0000-0002-3568-679X,"('Олена', 'Кочевенко')","('Kharkiv State Zooveterinary Academy', 'grid.445378.9', 'GRID', '2005')"
0000-0003-1543-279X,"('Zhenjie', 'Yan')","('Massachusetts Institute of Technology', '2167', 'RINGGOLD', '2014')"
0000-0002-8373-379X,"('venkat', 'esan')","('VIT University', '30026', 'RINGGOLD', '2012')"
